MEMBERSHIP_STATUS,MEMBERSHIP_TERM_YEARS_MINMAX_SC,MEMBERSHIP_TERM_YEARS_STD_SC,ANNUAL_FEES_MINMAX_SC,ANNUAL_FEES_STD_SC,MEMBER_MARITAL_STATUS_MOST_CAT,MEMBER_GENDER_MOST_CAT,MEMBER_ANNUAL_INCOME_AVG_MINMAX_SC,MEMBER_ANNUAL_INCOME_AVG_STD_SC,MEMBER_OCCUPATION_CD_CAT,MEMBERSHIP_PACKAGE_CAT,MEMBER_AGE_AT_ISSUE_MINMAX_SC,ADDITIONAL_MEMBERS_CAT,PAYMENT_MODE_CAT,START_DATE_MINMAX_SC
0,0.032258065,-0.77879853,1.00E-09,-0.293146125,1,1,0.001290013,-0.011350846,1,1,0.402173913,2,0,0.747908745
0,0.35483871,0.551373573,1.00E-09,-0.293146125,1,1,0.011117475,0.571832206,0,1,0.576086957,2,0,0.493155894
1,0.139784946,-0.335407829,1.00E-09,-0.293146125,1,1,0.000790016,-0.041021758,0,1,0.434782609,2,0,0.463498099
1,0.086021505,-0.55710318,0.005199994,-0.099695222,1,1,0.001481291,0,5,0,0.815217391,2,0,0.963498099
1,0.462365591,0.994764275,1.00E-09,-0.293146125,1,0,0.001481291,0,3,1,0.467391304,1,0,0.484790875
1,0.956989247,3.034361501,0.000404594,-0.278094397,1,1,0.001090007,-0.023219638,0,0,0.391304348,0,0,0.909505703
1,0.086021505,-0.55710318,0.01061821,0.101874045,1,0,0.000339999,-0.067726719,1,0,0.315217391,1,0,0.909505703
1,0.193548387,-0.113712479,1.00E-09,-0.293146125,2,1,0.000490001,-0.058825303,0,1,0.27173913,0,3,0.506463878
1,0.516129032,1.216459625,1.00E-09,-0.293146125,1,0,0.000290007,-0.070693383,0,1,0.413043478,2,0,0.479467681
0,0.182795699,-0.158051549,1.00E-09,-0.293146125,2,1,0.001490019,0.000517947,0,1,0.630434783,0,0,0.426996198
1,0.193548387,-0.113712479,0.009999944,0.078873223,1,0,0.00059001,-0.052890551,1,0,0.489130435,3,0,0.711787072
1,0.193548387,-0.113712479,0.030000001,0.822918279,1,1,0.00124002,-0.01431751,0,1,0.52173913,1,3,0.550190114
0,0.193548387,-0.113712479,0.040000001,1.194939747,1,1,0.001190016,-0.017284886,0,1,0.72826087,3,0,0.549809886
1,0.032258065,-0.77879853,8.10E-08,-0.293143149,1,0,0.00059001,-0.052890551,0,1,0.402173913,3,1,0.861596958
1,0.032258065,-0.77879853,0.002000337,-0.218729331,1,0,0.00059001,-0.052890551,0,1,0.619565217,1,1,0.626996198
0,0.47311828,1.039103345,1.00E-09,-0.293146125,1,1,0.00099001,-0.029153678,0,1,0.456521739,3,0,0.529657795
0,0.032258065,-0.77879853,1.00E-09,-0.293146125,1,1,0.001481291,0,0,1,0.141304348,0,0,0.639163498
1,0.032258065,-0.77879853,1.00E-09,-0.293146125,1,1,0.00037,-0.065946436,1,1,0.456521739,3,0,0.896958175
1,0.032258065,-0.77879853,1.00E-09,-0.293146125,1,1,0.000490013,-0.058824591,0,1,0.576086957,3,3,0.535361217
1,0.268817204,0.196661012,0.001994505,-0.218946294,1,1,0.00059001,-0.052890551,0,1,0.489130435,2,1,0.412547529
1,0.172043011,-0.202390619,1.00E-09,-0.293146125,1,1,0.000890013,-0.035087718,0,1,0.641304348,2,3,0.315209125
1,0.032258065,-0.77879853,0.005000001,-0.107135391,2,1,0.000290007,-0.070693383,0,1,0.206521739,0,0,0.357414449
1,0.086021505,-0.55710318,0.004998824,-0.107179178,1,1,0.001481291,0,5,0,0.695652174,1,0,0.896958175
0,0.032258065,-0.77879853,0.010000001,0.078875343,1,1,0.00139001,-0.005416805,0,1,0.380434783,1,0,0.76730038
0,0.193548387,-0.113712479,1.00E-09,-0.293146125,1,1,0.001481291,0,5,1,0.673913043,0,3,0.548669202
1,0.139784946,-0.335407829,0.007500001,-0.014130024,2,0,0.000710011,-0.045769418,0,1,0.445652174,0,0,0.361596958
1,0.032258065,-0.77879853,1.00E-09,-0.293146125,1,1,0.000390004,-0.064759343,0,1,0.413043478,2,0,0.500380228
1,0.892473118,2.76832708,0.000373161,-0.279263772,1,1,0.000290007,-0.070693383,1,0,0.5,0,1,0.711787072
0,0.193548387,-0.113712479,1.00E-09,-0.293146125,1,1,0.000240002,-0.073660759,0,1,0.52173913,2,0,0.28365019
1,0.311827957,0.374017293,1.00E-09,-0.293146125,1,1,0.001481291,0,0,1,0.673913043,3,3,0.548669202
0,0.322580645,0.418356363,0.030000001,0.822918279,1,1,0.001371014,-0.006544081,0,1,0.597826087,3,0,0.515969582
1,0.086021505,-0.55710318,1.00E-09,-0.293146125,1,1,0.000410008,-0.06357225,0,1,0.369565217,2,0,0.210646388
1,0.139784946,-0.335407829,1.00E-09,-0.293146125,1,1,0.001290013,-0.011350846,0,1,0.673913043,3,0,0.401140684
0,0.462365591,0.994764275,5.12E-05,-0.291241226,1,1,0.000490013,-0.058824591,0,0,0.576086957,1,3,0.612547529
0,0.032258065,-0.77879853,0.002000097,-0.21873826,1,1,0.000440008,-0.061791967,0,1,0.380434783,2,1,0.642585551
0,0.032258065,-0.77879853,0.010000001,0.078875343,1,1,0.000840008,-0.038055094,0,1,0.532608696,3,2,0.406463878
0,0.032258065,-0.77879853,1.00E-09,-0.293146125,1,1,0.000490013,-0.058824591,0,1,0.445652174,2,0,0.41026616
1,0.139784946,-0.335407829,0.002370465,-0.204959775,1,1,0.000840008,-0.038055094,0,0,0.510869565,0,1,0.999239544
1,0.139784946,-0.335407829,1.00E-09,-0.293146125,1,1,0.00059001,-0.052890551,0,1,0.434782609,2,0,0.461596958
1,0.086021505,-0.55710318,0.003199029,-0.174135416,1,1,0.000390004,-0.064759343,1,0,0.576086957,1,1,0.905323194
1,0.086021505,-0.55710318,0.000136329,-0.288074431,1,1,0.000490001,-0.058825303,0,0,0.608695652,1,1,0.917490494
1,0.032258065,-0.77879853,0.010000101,0.078879063,1,1,0.001481291,0,0,1,0.543478261,0,0,0.581368821
1,0.086021505,-0.55710318,8.10E-08,-0.293143149,1,0,0.000390004,-0.064759343,0,1,0.586956522,2,1,0.479847909
0,0.989247312,3.167378711,0.01331545,0.202217163,1,1,0.002450029,0.057487011,0,0,0.358695652,0,0,0.661977186
1,0.344086022,0.507034503,0.000500001,-0.274545051,1,1,0.000340011,-0.067726007,0,1,0.576086957,1,0,0.550190114
1,0.086021505,-0.55710318,1.00E-09,-0.293146125,1,1,0.000440008,-0.061791967,0,1,0.608695652,3,3,0.352091255
1,0.655913978,1.792867537,1.00E-09,-0.293146125,1,1,0.001481291,0,0,1,0.597826087,0,0,0.469581749
0,0.032258065,-0.77879853,0.005000001,-0.107135391,1,0,0.001481291,0,0,1,0.467391304,0,0,0.615589354
0,0.086021505,-0.55710318,1.00E-09,-0.293146125,1,1,0.001481291,0,0,1,0.554347826,0,3,0.17756654
1,0.193548387,-0.113712479,1.00E-09,-0.293146125,1,1,0.001090019,-0.023218926,0,1,0.326086957,1,0,0.50608365
1,0.032258065,-0.77879853,0.002500001,-0.200140758,1,1,0.000290007,-0.070693383,4,1,0.380434783,2,0,0.440684411
1,0.903225806,2.81266615,0.000299995,-0.281985704,1,1,0.00059001,-0.052890551,0,0,0.532608696,0,0,0.932319392
1,0.086021505,-0.55710318,0.000418789,-0.277566312,3,0,0.000240002,-0.073660759,1,0,0.630434783,0,0,0.993155894
1,0.301075269,0.329678223,1.01E-07,-0.293142405,1,1,0.000490013,-0.058824591,0,1,0.630434783,2,0,0.469201521
0,0.032258065,-0.77879853,0.001999989,-0.218742278,1,0,0.001481291,0,3,1,0.565217391,2,1,0.282129278
1,0.086021505,-0.55710318,0.000686301,-0.267614291,2,1,0.000390004,-0.064759343,4,1,0.445652174,0,0,0.376425856
1,0.301075269,0.329678223,0.090000001,3.055047086,1,1,0.0099901,0.504931298,0,1,0.630434783,2,0,0.478326996
0,0.086021505,-0.55710318,2.68E-06,-0.293046311,1,1,0.000440008,-0.061791967,0,0,0.510869565,3,0,0.665779468
1,0.182795699,-0.158051549,0.008750001,0.03237266,1,1,0.00099001,-0.029153678,0,1,0.739130435,2,0,0.550190114
1,0.032258065,-0.77879853,0.002000097,-0.21873826,1,0,0.003258837,0.105483447,0,1,0.489130435,2,1,0.932319392
1,0.032258065,-0.77879853,0.015000001,0.264886077,1,1,0.00359004,0.125137775,1,1,0.565217391,0,0,0.86539924
1,0.35483871,0.551373573,1.00E-09,-0.293146125,3,0,0.00019001,-0.076627423,0,1,0.456521739,0,0,0.437642586
1,0.086021505,-0.55710318,1.00E-09,-0.293146125,1,1,0.000540005,-0.055857927,0,1,0.369565217,3,0,0.388212928
1,0.139784946,-0.335407829,0.002000097,-0.21873826,2,1,0.000550014,-0.055264024,4,1,0.380434783,0,1,0.475665399
0,0.032258065,-0.77879853,0.013000001,0.190481783,1,1,0.000290007,-0.070693383,0,1,0.445652174,2,0,0.770342205
1,0.139784946,-0.335407829,0.002371437,-0.204923615,1,1,0.00059001,-0.052890551,0,0,0.554347826,2,1,0.942585551
1,0.086021505,-0.55710318,0.020000224,0.450905107,1,1,0.00099001,-0.029153678,1,0,0.065217391,1,0,0.909505703
1,0.150537634,-0.291068759,1.00E-09,-0.293146125,1,0,0.00219547,0.042380951,0,1,0.782608696,2,0,0.469581749
1,0.247311828,0.107982872,0.000309002,-0.281650624,1,1,0.000390004,-0.064759343,1,0,0.391304348,0,0,0.97338403
1,0.430107527,0.861747064,1.00E-09,-0.293146125,1,1,0.00059001,-0.052890551,0,1,0.380434783,1,0,0.249429658
1,0.344086022,0.507034503,0.015000001,0.264886077,1,1,0.00099001,-0.029153678,0,1,0.586956522,2,0,0.479847909
1,0.086021505,-0.55710318,0.002544933,-0.198469191,1,1,0.00099001,-0.029153678,0,0,0.554347826,2,1,0.909505703
1,0.193548387,-0.113712479,1.00E-09,-0.293146125,1,1,0.00059001,-0.052890551,0,1,0.47826087,3,3,0.414448669
1,0.086021505,-0.55710318,0.174470601,6.197534746,1,1,0.03099031,1.751129574,0,0,0.5,2,1,0.99391635
1,0.225806452,0.019304732,1.00E-09,-0.293146125,2,1,0.001481291,0,5,1,0.706521739,0,0,0.509125475
0,0.23655914,0.063643802,0.020000001,0.450896811,2,1,0.001481291,0,5,1,0.695652174,0,3,0.475665399
1,0.516129032,1.216459625,0.001820782,-0.225409163,1,1,0.000890013,-0.035087718,0,0,0.52173913,1,0,0.8121673
0,0.591397849,1.526833116,0.010000024,0.078876199,1,0,0.000490001,-0.058825303,1,0,0.434782609,1,0,0.733079848
1,0.139784946,-0.335407829,0.00435003,-0.131315707,1,0,0.000350008,-0.067132817,0,0,0.369565217,1,0,0.99391635
1,0.23655914,0.063643802,1.00E-09,-0.293146125,1,1,0.000790016,-0.041021758,0,1,0.684782609,3,0,0.552471483
1,0.086021505,-0.55710318,0.002002833,-0.218636475,1,1,0.000490001,-0.058825303,1,0,0.717391304,3,1,0.969961977
1,0.086021505,-0.55710318,0.008764624,0.032916667,1,1,0.001481291,0,5,0,0.793478261,2,0,0.909125475
1,0.086021505,-0.55710318,0.019996281,0.450758419,1,1,0.000490001,-0.058825303,1,0,0.423913043,3,1,0.770342205
1,0.720430108,2.058901958,0.001009958,-0.255573556,1,0,0.000390004,-0.064759343,0,0,0.641304348,0,0,0.95513308
1,0.365591398,0.595712644,1.00E-09,-0.293146125,1,1,0.001190016,-0.017284886,0,1,0.456521739,1,0,0.324714829
0,0.279569892,0.241000083,1.00E-09,-0.293146125,1,1,0.000490013,-0.058824591,0,1,0.532608696,2,0,0.277946768
1,0.032258065,-0.77879853,0.040000001,1.194939747,1,1,0.001190016,-0.017284886,0,1,0.380434783,3,0,0.550190114
1,0.591397849,1.526833116,3.00E-09,-0.29314605,1,1,0.001481291,0,0,1,0.47826087,0,0,0.133840304
1,0.268817204,0.196661012,0.010000001,0.078875343,1,1,0.001481291,0,5,1,0.652173913,3,0,0.552471483
1,0.537634409,1.305137766,0.011100001,0.119797705,1,1,0.000159998,-0.078408419,5,0,0.510869565,3,0,0.932319392
0,0.086021505,-0.55710318,0.039999994,1.194939486,1,1,0.000140005,-0.079594799,0,0,0.695652174,1,0,0.686311787
1,0.086021505,-0.55710318,1.00E-09,-0.293146125,1,1,0.000570006,-0.054077644,0,1,0.413043478,3,3,0.734220532
1,0.139784946,-0.335407829,0.000309025,-0.281649769,1,1,0.002490025,0.059860485,1,0,0.619565217,0,3,0.960836502
1,0.989247312,3.167378711,0.001336967,-0.243408119,1,1,0.001481291,0,0,0,0.641304348,0,3,0.639163498
1,0.139784946,-0.335407829,0.005463516,-0.089891638,1,0,0.000300003,-0.070100193,1,0,0.510869565,2,0,0.980608365
1,0.086021505,-0.55710318,0.002360241,-0.20534013,1,1,0.00244002,0.056893108,0,0,0.652173913,2,1,0.947148289
1,0.935483871,2.94568336,0.000155001,-0.287379792,1,0,0.001481291,0,0,0,0.445652174,0,0,0.6
1,0.032258065,-0.77879853,0.010000001,0.078875343,2,1,0.00399004,0.148874647,0,1,0.380434783,0,0,0.631939163
1,0.086021505,-0.55710318,0.009006765,0.041924832,2,0,0.000490001,-0.058825303,0,0,0.25,0,1,0.896958175
0,0.086021505,-0.55710318,0.002371365,-0.204926293,1,1,0.000290007,-0.070693383,0,0,0.695652174,2,1,0.909505703
1,0.139784946,-0.335407829,1.00E-09,-0.293146125,1,1,0.000490013,-0.058824591,4,1,0.380434783,3,3,0.464258555
1,0.086021505,-0.55710318,0.002000085,-0.218738706,1,1,0.000840008,-0.038055094,4,0,0.619565217,2,1,0.942585551
1,0.086021505,-0.55710318,0.000309002,-0.281650624,1,1,0.000390004,-0.064759343,1,0,0.47826087,2,0,0.909125475
1,0.032258065,-0.77879853,2.73E-07,-0.293136006,1,1,0.000230006,-0.07425395,0,1,0.532608696,1,1,0.602281369
0,0.47311828,1.039103345,0.012060501,0.155530367,1,1,0.000290007,-0.070693383,0,1,0.445652174,2,0,0.493155894
1,0.032258065,-0.77879853,0.010000001,0.078875343,1,1,0.000189998,-0.076628135,1,1,0.391304348,3,3,0.88365019
1,0.032258065,-0.77879853,0.029000001,0.785716132,1,1,0.002190022,0.042057652,0,1,0.456521739,1,3,0.849809886
1,0.032258065,-0.77879853,1.00E-09,-0.293146125,1,1,0.000339999,-0.067726719,0,1,0.47826087,1,3,0.350190114
1,0.086021505,-0.55710318,0.015739593,0.292400487,1,1,0.003690037,0.131071815,0,0,0.619565217,1,1,0.97756654
0,0.387096774,0.684390784,1.00E-09,-0.293146125,1,1,0.000440008,-0.061791967,0,1,0.532608696,2,0,0.529657795
1,0.032258065,-0.77879853,1.00E-09,-0.293146125,1,0,0.004190046,0.16074344,1,1,0.706521739,1,3,0.942585551
1,0.193548387,-0.113712479,0.000400566,-0.278244247,1,0,0.000339999,-0.067726719,1,0,0.47826087,3,0,0.909505703
1,0.365591398,0.595712644,0.002000097,-0.21873826,1,0,0.001481291,0,3,1,0.456521739,2,1,0.26121673
0,0.086021505,-0.55710318,1.00E-09,-0.293146125,1,1,0.000440008,-0.061791967,0,1,0.402173913,1,0,0.314828897
1,0.376344086,0.640051714,0.002500001,-0.200140758,1,1,0.000394348,-0.064501558,0,1,0.543478261,1,0,0.547148289
1,0.032258065,-0.77879853,0.010000001,0.078875343,1,1,0.001481291,0,5,1,0.684782609,0,0,0.698859316
1,0.322580645,0.418356363,1.00E-09,-0.293146125,1,0,0.000240002,-0.073660759,0,1,0.434782609,1,3,0.432319392
0,0.032258065,-0.77879853,1.00E-09,-0.293146125,2,1,0.000515009,-0.057341259,0,1,0.304347826,0,0,0.770342205
1,0.215053763,-0.025034338,1.00E-09,-0.293146125,1,1,0.000490013,-0.058824591,0,1,0.608695652,2,0,0.32243346
1,0.591397849,1.526833116,0.000320493,-0.281223134,1,1,0.001990016,0.03018886,1,0,0.434782609,1,2,0.918631179
0,0.032258065,-0.77879853,8.10E-08,-0.293143149,2,1,0.000140005,-0.079594799,0,1,0.358695652,0,1,0.190114068
0,0.032258065,-0.77879853,1.00E-09,-0.293146125,1,1,0.000890013,-0.035087718,1,1,0.576086957,3,0,0.796197719
1,0.139784946,-0.335407829,0.000309003,-0.281650587,1,1,0.001490019,0.000517947,0,0,0.52173913,0,0,0.931178707
1,0.032258065,-0.77879853,0.020000001,0.450896811,1,0,0.000390004,-0.064759343,0,1,0.630434783,0,0,0.861596958
1,0.35483871,0.551373573,1.00E-09,-0.293146125,1,1,0.000790016,-0.041021758,0,1,0.565217391,2,0,0.533079848
1,0.483870968,1.083442415,0.010035543,0.080197582,1,1,0.000500009,-0.0582314,0,0,0.554347826,1,0,0.90608365
1,0.086021505,-0.55710318,0.014727993,0.254766795,1,1,0.000890013,-0.035087718,1,0,0.52173913,3,1,0.891634981
1,0.11827957,-0.424085969,0.002000001,-0.218741831,1,0,0.000290007,-0.070693383,0,1,0.706521739,1,1,0.427756654
0,0.139784946,-0.335407829,0.003000001,-0.181539684,2,1,0.000390004,-0.064759343,0,1,0.27173913,0,0,0.456273764
1,0.946236559,2.990022431,0.000309074,-0.281647946,1,0,0.001890019,0.02425482,1,0,0.358695652,0,0,0.909505703
1,0.032258065,-0.77879853,1.00E-09,-0.293146125,2,1,0.000390004,-0.064759343,0,1,0.25,0,0,0.280608365
1,0.032258065,-0.77879853,0.010000161,0.078881295,2,1,0.000440008,-0.061791967,1,1,0.260869565,0,1,0.755513308
1,0.516129032,1.216459625,3.16E-07,-0.293134406,1,1,0.000490001,-0.058825303,1,0,0.510869565,3,0,0.97756654
1,0.032258065,-0.77879853,1.00E-09,-0.293146125,1,1,0.001481291,0,0,1,0.597826087,1,0,0.433840304
0,0.032258065,-0.77879853,1.00E-09,-0.293146125,2,1,0.000585006,-0.053187502,0,1,0.25,0,3,0.273764259
0,0,-0.911815741,0.002001189,-0.218697635,2,0,0.000290007,-0.070693383,0,1,0.293478261,0,1,0.327756654
1,0.47311828,1.039103345,1.00E-09,-0.293146125,1,1,0.000690007,-0.046956511,0,1,0.445652174,1,0,0.552851711
1,0.139784946,-0.335407829,0.005463509,-0.089891898,1,1,0.005344469,0.229249451,1,0,0.510869565,2,0,0.872243346
1,0.086021505,-0.55710318,0.000346973,-0.280238021,0,1,0.000390004,-0.064759343,1,0,0.663043478,0,0,0.942585551
0,0,-0.911815741,1.00E-09,-0.293146125,2,1,0.000340011,-0.067726007,0,1,0.22826087,0,3,0.439923954
1,0.193548387,-0.113712479,0.005000001,-0.107135391,1,1,0.001481291,0,0,1,0.565217391,0,0,0.493155894
0,0.086021505,-0.55710318,8.20E-08,-0.293143111,1,1,0.000240002,-0.073660759,4,1,0.358695652,1,0,0.373764259
1,0.086021505,-0.55710318,0.005000022,-0.10713461,1,0,0.00099001,-0.029153678,1,0,0.554347826,1,0,1
1,0.741935484,2.147580098,0.034999991,1.008928641,1,1,0.000890013,-0.035087718,0,0,0.543478261,0,0,0.962737643
1,0.182795699,-0.158051549,0.010000001,0.078875343,1,1,0.001481291,0,5,1,0.739130435,1,3,0.525095057
1,0.086021505,-0.55710318,0.002500001,-0.200140758,1,1,0.001481291,0,0,1,0.456521739,0,0,0.281368821
1,0.032258065,-0.77879853,0.010000001,0.078875343,1,0,0.000320007,-0.0689131,0,1,0.315217391,2,0,0.550190114
0,0.032258065,-0.77879853,1.00E-09,-0.293146125,1,0,0.001481291,0,0,1,0.434782609,0,0,0.572243346
0,0.193548387,-0.113712479,1.00E-09,-0.293146125,1,0,0.000340011,-0.067726007,0,1,0.260869565,3,0,0.545247148
1,0.139784946,-0.335407829,0.002000097,-0.21873826,1,1,0.000603006,-0.052119332,1,1,0.510869565,3,1,0.798098859
1,0.139784946,-0.335407829,4.30E-08,-0.293144562,2,0,0.000290007,-0.070693383,1,0,0.27173913,0,0,0.860456274
1,0.086021505,-0.55710318,1.00E-09,-0.293146125,2,1,0.000290007,-0.070693383,0,1,0.27173913,0,2,0.491254753
1,0.344086022,0.507034503,1.00E-09,-0.293146125,1,0,0.005490055,0.23788881,0,1,0.576086957,1,0,0.531939163
1,0.193548387,-0.113712479,0.031770007,0.888766302,1,1,0.000790004,-0.04102247,0,0,0.586956522,3,0,0.881749049
1,0,-0.911815741,1.00E-09,-0.293146125,1,1,0.001481291,0,0,1,0.543478261,0,0,0.341444867
0,0,-0.911815741,0.005000121,-0.107130927,2,1,0.000490013,-0.058824591,0,1,0.25,0,1,0.321673004
0,0.032258065,-0.77879853,0.015000001,0.264886077,1,0,0.000703507,-0.046155383,0,1,0.47826087,1,0,0.757794677
0,0.032258065,-0.77879853,1.00E-05,-0.292774103,1,0,0.000490013,-0.058824591,0,1,0.456521739,1,0,0.615589354
0,0.086021505,-0.55710318,1.00E-09,-0.293146125,1,1,0.001481291,0,0,1,0.282608696,0,0,0.260456274
1,0.247311828,0.107982872,0.000309003,-0.281650587,1,1,0.000290007,-0.070693383,1,0,0.369565217,1,0,0.964638783
1,0.139784946,-0.335407829,1.00E-09,-0.293146125,1,0,0.001481291,0,5,1,0.782608696,2,3,0.529277567
0,0.623655914,1.659850327,0.009999745,0.078865819,1,1,0.00099001,-0.029153678,0,0,0.402173913,3,3,0.655513308
0,0.817204301,2.457953589,0.000500017,-0.274544456,1,1,0.00099001,-0.029153678,1,0,0.619565217,0,0,0.757794677
0,0.247311828,0.107982872,0.014241273,0.236659767,1,1,0.000110005,-0.081375083,3,0,0.445652174,1,1,0.942585551
1,0.344086022,0.507034503,0.002000001,-0.218741831,1,0,0.001190016,-0.017284886,0,1,0.586956522,3,1,0.520912548
1,0.086021505,-0.55710318,0.001170339,-0.249607039,1,1,0.000290007,-0.070693383,0,0,0.77173913,1,0,0.909505703
1,0.032258065,-0.77879853,1.00E-09,-0.293146125,1,0,0.000125101,-0.080479244,0,1,0.423913043,1,0,0.108745247
0,0.193548387,-0.113712479,0.001000001,-0.255943978,1,1,0.001481291,0,0,1,0.782608696,0,3,0.550190114
1,0.580645161,1.482494046,0.000159225,-0.28722265,1,0,0.001190016,-0.017284886,0,0,0.445652174,1,0,0.676806084
1,0.086021505,-0.55710318,1.00E-09,-0.293146125,1,1,0.000280011,-0.071286574,0,1,0.47826087,1,3,0.291254753
1,0,-0.911815741,1.00E-09,-0.293146125,1,1,0.000540005,-0.055857927,4,1,0.695652174,2,0,0.469581749
1,0.086021505,-0.55710318,1.00E-09,-0.293146125,1,0,0.000240002,-0.073660759,0,1,0.619565217,2,3,0.493155894
0,0.032258065,-0.77879853,0.005,-0.107135428,1,1,0.000840008,-0.038055094,0,1,0.630434783,2,0,0.631939163
1,0.301075269,0.329678223,5.14E-05,-0.291233265,2,1,0.000415,-0.063276011,0,0,0.282608696,0,0,0.628136882
1,0.086021505,-0.55710318,0.002500001,-0.200140758,1,1,0.001481291,0,5,0,0.695652174,1,0,0.891634981
1,0.086021505,-0.55710318,0.00250171,-0.200077179,1,1,0.00059001,-0.052890551,0,0,0.543478261,0,0,1
1,0,-0.911815741,0.050000001,1.566961215,1,1,0.0099901,0.504931298,0,1,0.510869565,2,0,0.420532319
0,0.247311828,0.107982872,1.00E-09,-0.293146125,1,1,0.001481291,0,5,1,0.673913043,2,0,0.479847909
1,0.086021505,-0.55710318,0.002374453,-0.204811413,1,0,0.001481291,0,5,0,0.72826087,3,3,0.909125475
1,0.139784946,-0.335407829,0.005000036,-0.107134089,1,1,0.001190016,-0.017284886,0,0,0.684782609,1,0,0.942585551
0,0.193548387,-0.113712479,0.005000121,-0.107130927,1,1,0.001481291,0,0,1,0.630434783,0,1,0.493155894
0,0.032258065,-0.77879853,1.00E-09,-0.293146125,1,1,0.000240002,-0.073660759,0,1,0.489130435,2,0,0.785551331
1,0.225806452,0.019304732,0.010000001,0.078875343,1,0,0.000340011,-0.067726007,0,1,0.597826087,1,3,0.257794677
0,0.107526882,-0.46842504,0.112416401,3.888985289,1,0,0.00099001,-0.029153678,0,1,0.815217391,1,0,0.538403042
1,0.032258065,-0.77879853,0.015000001,0.264886077,1,0,0.001490019,0.000517947,1,1,0.47826087,1,0,0.97756654
1,0.032258065,-0.77879853,1.00E-09,-0.293146125,1,1,0.000440008,-0.061791967,0,1,0.663043478,2,0,0.313688213
1,0.086021505,-0.55710318,0.000519285,-0.273827645,1,1,0.000740011,-0.043989134,0,0,0.586956522,3,1,0.931558935
0,0.301075269,0.329678223,0.009998001,0.078800939,1,0,0.000790016,-0.041021758,0,1,0.52173913,2,0,0.341444867
0,0.419354839,0.817407994,0.010002254,0.07895916,1,1,0.001890019,0.02425482,0,0,0.641304348,1,0,0.654372624
0,0.086021505,-0.55710318,1.00E-09,-0.293146125,1,1,0.00059001,-0.052890551,0,1,0.423913043,1,0,0.433079848
1,0.247311828,0.107982872,0.003499998,-0.162938723,1,1,0.000290007,-0.070693383,0,0,0.630434783,1,0,0.929657795
1,0.365591398,0.595712644,0.090000001,3.055047086,2,1,0.000690007,-0.046956511,0,1,0.565217391,0,4,0.488593156
1,0.892473118,2.76832708,0.000319264,-0.281268856,1,1,0.001481291,0,5,0,0.913043478,0,0,0.932319392
1,0.698924731,1.970223818,1.00E-09,-0.293146125,2,0,0.001481291,0,5,1,0.206521739,0,0,0.484410646
0,0.215053763,-0.025034338,0.000800085,-0.263381282,1,1,0.000490013,-0.058824591,0,1,0.663043478,2,1,0.474144487
1,0.086021505,-0.55710318,0.000309002,-0.281650624,1,1,0.001481291,0,5,0,0.826086957,2,0,1
0,0.387096774,0.684390784,0.090000001,3.055047086,1,1,0.001190016,-0.017284886,0,1,0.532608696,1,0,0.550190114
0,0.032258065,-0.77879853,0.01,0.078875306,3,1,0.000290007,-0.070693383,1,1,0.641304348,0,0,0.766539924
1,0.086021505,-0.55710318,0.003292053,-0.170674723,1,0,0.000790004,-0.04102247,0,0,0.467391304,2,1,0.996197719
