INDEX,MEMBERSHIP_NUMBER,MEMBERSHIP_TERM_YEARS,ANNUAL_FEES,MEMBER_MARITAL_STATUS,MEMBER_GENDER,MEMBER_ANNUAL_INCOME,MEMBER_OCCUPATION_CD,MEMBERSHIP_PACKAGE,MEMBER_AGE_AT_ISSUE,ADDITIONAL_MEMBERS,PAYMENT_MODE,AGENT_CODE,START_DATE,END_DATE,MEMBERSHIP_STATUS
3857,A03859,27,100000,S,M,499992,1,TYPE-B,25,0,SEMI-ANNUAL,309877,20100506,,INFORCE
3058,A03059,57,100000,M,F,300000,1,TYPE-B,38,2,ANNUAL,869466,20100225,,INFORCE
2189,A02190,26,100000,S,M,1500000,1,TYPE-B,58,0,ANNUAL,790888,20091012,20101211,CANCELLED
6072,A06077,27,199999.43,M,F,600000,2,TYPE-A,45,3,ANNUAL,20188,20111031,,INFORCE
4532,A04534,27,400000,M,M,1250004,1,TYPE-B,48,1,SEMI-ANNUAL,309877,20100831,,INFORCE
4568,A04571,27,500000,M,M,1200000,1,TYPE-B,67,3,ANNUAL,265077,20100830,20111027,CANCELLED
7557,A07562,12,100000.8,M,F,600000,1,TYPE-B,37,3,MONTHLY,1358900,20121130,,INFORCE
5519,A05522,12,120003.36,M,F,600000,1,TYPE-B,57,1,MONTHLY,1124533,20110318,,INFORCE
4187,A04189,53,100000,M,M,999996,1,TYPE-B,42,3,ANNUAL,739300,20100707,20110905,CANCELLED
5667,A05670,12,100000,,M,,1,TYPE-B,13,0,ANNUAL,1197144,20110420,20130619,CANCELLED
8215,A08220,12,100000,M,M,379992,2,TYPE-B,42,3,ANNUAL,1349433,20130228,,INFORCE
4237,A04239,12,100000,M,M,500004,1,TYPE-B,53,3,SEMI-ANNUAL,128111,20100722,,INFORCE
2036,A02037,34,119945.04,M,M,600000,1,TYPE-B,45,2,MONTHLY,143033,20090904,,INFORCE
1078,A01079,25,100000,M,M,900000,1,TYPE-B,59,2,SEMI-ANNUAL,343344,20081223,,INFORCE
1608,A01609,12,150000,S,M,300000,1,TYPE-B,19,0,ANNUAL,568800,20090409,,INFORCE
8261,A08266,17,149988.23,M,M,,6,TYPE-A,64,1,ANNUAL,343344,20130228,,INFORCE
6720,A06725,12,200000,M,M,1399992,1,TYPE-B,35,1,ANNUAL,20566,20120322,20130521,CANCELLED
4436,A04438,27,100000,,,,6,TYPE-B,62,0,SEMI-ANNUAL,693255,20100827,20110428,CANCELLED
1617,A01618,22,175000,S,F,720000,1,TYPE-B,41,0,ANNUAL,275499,20090420,,INFORCE
3772,A03774,12,100000,M,M,399996,1,TYPE-B,38,2,ANNUAL,763077,20100420,,INFORCE
6069,A06074,92,103731.6,,M,300000,2,TYPE-A,46,0,MONTHLY,1224599,20111031,,INFORCE
782,A00783,27,100000,M,M,249996,1,TYPE-B,48,2,ANNUAL,260122,20080930,20091127,CANCELLED
4489,A04491,38,100000,,,,1,TYPE-B,62,3,SEMI-ANNUAL,825144,20100827,,INFORCE
3994,A03996,39,400000,M,M,1380996,1,TYPE-B,55,3,ANNUAL,832200,20100531,20110727,CANCELLED
316,A00317,17,100000,M,M,420000,1,TYPE-B,34,2,ANNUAL,194611,20080318,,INFORCE
1953,A01954,22,100000,M,M,1299996,1,TYPE-B,62,3,ANNUAL,632622,20090804,,INFORCE
5364,A05367,52,100512.04,M,M,500004,1,TYPE-A,53,1,SEMI-ANNUAL,1142933,20110210,20110909,CANCELLED
5733,A05736,12,120000.96,M,M,450000,1,TYPE-B,35,2,MONTHLY,437477,20110429,20110827,CANCELLED
1963,A01964,12,200000,M,M,849996,1,TYPE-B,49,3,QUARTERLY,555255,20090818,20110419,CANCELLED
1965,A01966,12,100000,M,M,500004,1,TYPE-B,41,2,ANNUAL,606366,20090828,20101027,CANCELLED
10306,A10311,22,123704.64,,M,849996,1,TYPE-A,47,0,MONTHLY,348355,20131127,,INFORCE
2531,A02532,22,100000,M,M,600000,1,TYPE-B,40,2,ANNUAL,835977,20100108,,INFORCE
8426,A08431,17,131990.28,M,M,399996,2,TYPE-A,53,1,MONTHLY,343355,20130320,,INFORCE
8892,A08897,17,101363.28,M,M,499992,1,TYPE-A,56,1,MONTHLY,348355,20130422,,INFORCE
4975,A04978,12,200001,,M,,1,TYPE-B,50,0,ANNUAL,614377,20101123,,INFORCE
3045,A03046,17,100000.8,M,F,399996,1,TYPE-B,54,2,MONTHLY,629933,20100226,,INFORCE
5795,A05798,101,233154.49,,M,2460000,1,TYPE-A,33,0,ANNUAL,1120355,20110620,20130720,CANCELLED
4657,A04660,41,105000,M,M,350004,1,TYPE-B,53,1,ANNUAL,184844,20100831,,INFORCE
1432,A01433,17,100000,M,M,450000,1,TYPE-B,56,3,SEMI-ANNUAL,643788,20090325,,INFORCE
2876,A02877,70,100000,,,,1,TYPE-B,55,0,ANNUAL,560833,20100129,,INFORCE
5376,A05379,12,150000,,F,,1,TYPE-B,43,0,ANNUAL,499499,20110218,20120418,CANCELLED
103,A00104,17,100000,,,,1,TYPE-B,51,0,SEMI-ANNUAL,26511,20071226,20080825,CANCELLED
3771,A03773,27,100000,M,M,1100004,1,TYPE-B,30,1,ANNUAL,819711,20100505,,INFORCE
2337,A02338,12,125000,M,M,300000,5,TYPE-B,35,2,ANNUAL,83099,20091118,,INFORCE
9046,A09051,93,102999.94,,M,600000,1,TYPE-A,49,0,ANNUAL,1407177,20130531,,INFORCE
10187,A10192,17,104187.88,W,F,249996,2,TYPE-A,58,0,ANNUAL,343344,20131111,,INFORCE
2815,A02816,37,100001,M,M,500004,1,TYPE-B,58,2,ANNUAL,836388,20100128,,INFORCE
756,A00757,12,119999.88,M,F,,4,TYPE-B,52,2,MONTHLY,35922,20080926,20090427,CANCELLED
1692,A01693,17,106863,S,M,399996,5,TYPE-B,41,0,ANNUAL,495099,20090529,,INFORCE
3026,A03027,37,1000000,M,M,9999996,1,TYPE-B,58,2,ANNUAL,285911,20100222,,INFORCE
5826,A05830,17,100026.83,M,M,450000,1,TYPE-A,47,3,ANNUAL,1236022,20110630,20120728,CANCELLED
4681,A04684,26,187500,M,M,999996,1,TYPE-B,68,2,ANNUAL,849911,20100831,,INFORCE
9073,A09078,12,120000.96,M,F,3268800,1,TYPE-B,45,2,MONTHLY,1392933,20130531,,INFORCE
7563,A07568,12,250000,,M,3600000,2,TYPE-B,52,0,ANNUAL,1296988,20121210,,INFORCE
2304,A02305,42,100000,W,F,200004,1,TYPE-B,42,0,ANNUAL,343344,20091110,,INFORCE
1833,A01834,17,100000,M,M,549996,1,TYPE-B,34,3,ANNUAL,200533,20090630,,INFORCE
2948,A02949,22,120000.96,S,M,560004,5,TYPE-B,35,0,MONTHLY,775711,20100215,,INFORCE
6933,A06938,12,230000,M,M,300000,1,TYPE-B,41,2,ANNUAL,1212944,20120330,20130527,CANCELLED
9237,A09242,22,123714.36,M,M,600000,1,TYPE-A,51,2,MONTHLY,1097800,20130628,,INFORCE
8656,A08661,17,300002.23,,M,999996,2,TYPE-A,6,1,ANNUAL,1347855,20130331,,INFORCE
2833,A02834,23,100000,M,F,2205444,1,TYPE-B,72,2,ANNUAL,280466,20100129,,INFORCE
9752,A09757,32,103090.01,,M,399996,2,TYPE-A,36,0,ANNUAL,281055,20130919,,INFORCE
567,A00568,49,100000,M,M,600000,1,TYPE-B,35,1,ANNUAL,167666,20080630,,INFORCE
3111,A03112,41,250000,M,M,999996,1,TYPE-B,54,2,ANNUAL,739300,20100226,,INFORCE
8806,A08811,17,125449.32,M,M,999996,1,TYPE-A,51,2,MONTHLY,343388,20130331,,INFORCE
2069,A02070,27,100000,M,M,600000,1,TYPE-B,44,3,SEMI-ANNUAL,703388,20090909,,INFORCE
10006,A10011,17,1844706,M,M,30999996,1,TYPE-A,46,2,MONTHLY,343344,20131113,,INFORCE
3894,A03896,30,100000,S,M,,6,TYPE-B,65,0,ANNUAL,20711,20100513,,INFORCE
2919,A02920,31,300000,S,M,,6,TYPE-B,64,0,SEMI-ANNUAL,343344,20100215,20101014,CANCELLED
7187,A07192,57,118207.81,M,M,900000,1,TYPE-A,48,1,ANNUAL,587766,20120720,,INFORCE
6118,A06123,64,200000.23,M,F,499992,2,TYPE-A,40,1,ANNUAL,1259000,20111227,20130126,CANCELLED
10222,A10227,22,143500.29,M,F,360000,1,TYPE-A,34,1,ANNUAL,343344,20131113,,INFORCE
4829,A04832,31,100000,M,M,800004,1,TYPE-B,63,3,ANNUAL,471366,20100907,,INFORCE
9676,A09681,17,120028.32,M,M,499992,2,TYPE-A,66,3,MONTHLY,1079488,20130910,,INFORCE
8402,A08407,17,187646.23,,M,,6,TYPE-A,73,2,ANNUAL,343477,20130330,,INFORCE
6854,A06859,17,299962.8,M,M,499992,2,TYPE-A,39,3,MONTHLY,1222977,20120330,,INFORCE
9368,A09373,76,110099.57,,F,399996,1,TYPE-A,59,0,ANNUAL,1433455,20130731,,INFORCE
1208,A01209,43,100000,M,M,1200000,1,TYPE-B,42,1,ANNUAL,577311,20090113,,INFORCE
764,A00765,35,100000,M,M,500004,1,TYPE-B,49,2,ANNUAL,432400,20080915,20091109,CANCELLED
4598,A04601,12,500000,M,M,1200000,1,TYPE-B,35,3,ANNUAL,695555,20100831,,INFORCE
36,A00037,64,100000.02,,,,1,TYPE-B,44,0,ANNUAL,32477,20070831,,INFORCE
4828,A04831,34,200000,M,M,,6,TYPE-B,60,3,ANNUAL,729522,20100907,,INFORCE
9063,A09068,59,211000,,M,169992,6,TYPE-A,47,3,ANNUAL,1219322,20130531,,INFORCE
5885,A05889,17,499999.93,M,M,150000,1,TYPE-A,64,1,ANNUAL,1182811,20110824,20120923,CANCELLED
6210,A06215,17,100000,M,M,579996,1,TYPE-B,38,3,SEMI-ANNUAL,268344,20111230,,INFORCE
9441,A09446,22,103090.24,,M,2499996,2,TYPE-A,57,0,SEMI-ANNUAL,343344,20130816,,INFORCE
5642,A05645,101,113369.66,,M,,1,TYPE-A,59,0,SEMI-ANNUAL,1184733,20110420,,INFORCE
9987,A09992,22,154635.15,M,F,309996,2,TYPE-A,47,2,ANNUAL,343344,20131008,,INFORCE
9240,A09245,17,123602.4,M,M,2449992,1,TYPE-A,60,2,MONTHLY,347877,20130710,,INFORCE
5157,A05160,96,101550,,F,,1,TYPE-A,41,0,ANNUAL,775388,20110107,,INFORCE
5698,A05701,12,200000,S,M,3999996,1,TYPE-B,35,0,ANNUAL,1215055,20110331,,INFORCE
8253,A08258,17,190067.64,S,F,499992,1,TYPE-A,23,0,MONTHLY,343344,20130228,,INFORCE
8733,A08738,17,123713.64,M,M,300000,1,TYPE-A,64,2,MONTHLY,343344,20130331,20130513,CANCELLED
2750,A02751,22,100000,M,M,500004,5,TYPE-B,35,3,SEMI-ANNUAL,858477,20100115,,INFORCE
9215,A09220,17,120000.84,,M,849996,5,TYPE-A,57,2,MONTHLY,343333,20130628,,INFORCE
8654,A08659,17,103090.01,M,M,399996,2,TYPE-A,44,2,ANNUAL,1242622,20130330,,INFORCE
5231,A05234,12,100002.72,M,M,240000,1,TYPE-B,49,1,MONTHLY,1174677,20110113,,INFORCE
3706,A03708,53,220605,M,M,300000,1,TYPE-B,41,2,ANNUAL,832200,20100331,20110527,CANCELLED
7966,A07971,12,200000,M,M,199992,2,TYPE-B,36,3,SEMI-ANNUAL,1366522,20130123,,INFORCE
7474,A07479,12,390000,,M,2199996,1,TYPE-B,42,1,SEMI-ANNUAL,1219222,20121029,,INFORCE
1453,A01454,12,100000,M,M,349992,1,TYPE-B,44,1,SEMI-ANNUAL,493222,20090320,,INFORCE
9927,A09932,17,257395.92,M,M,3699996,1,TYPE-A,57,1,MONTHLY,347811,20130930,,INFORCE
4190,A04192,45,100000,M,M,450000,1,TYPE-B,49,2,ANNUAL,270777,20100707,20110905,CANCELLED
9219,A09224,12,100000,M,F,4200000,2,TYPE-B,65,1,SEMI-ANNUAL,1418600,20130628,,INFORCE
8819,A08824,27,104005.65,M,F,349992,2,TYPE-A,44,3,ANNUAL,1394400,20130331,,INFORCE
637,A00638,43,120000.96,M,F,,4,TYPE-B,42,2,MONTHLY,348355,20080731,,INFORCE
1071,A01072,17,100000,M,M,450000,1,TYPE-B,37,1,ANNUAL,256488,20081222,20100218,CANCELLED
4454,A04456,44,125000,M,M,404340,1,TYPE-B,50,1,ANNUAL,1121599,20100823,,INFORCE
5965,A05970,12,200000,,M,,6,TYPE-B,63,0,ANNUAL,789533,20110927,,INFORCE
2249,A02250,39,100000,M,F,249996,1,TYPE-B,40,1,SEMI-ANNUAL,89344,20091026,,INFORCE
6912,A06917,12,100000,S,M,525000,1,TYPE-B,28,0,ANNUAL,778699,20120330,20130527,CANCELLED
1195,A01196,29,100000,M,M,500004,1,TYPE-B,56,2,ANNUAL,280411,20090107,,INFORCE
8899,A08904,64,103204.92,M,M,1999992,2,TYPE-A,40,1,QUARTERLY,347966,20130425,,INFORCE
149,A00150,12,100000.8,S,M,150000,1,TYPE-B,33,0,MONTHLY,67766,20080124,20080523,CANCELLED
7038,A07043,12,100000,M,M,900000,2,TYPE-B,53,3,ANNUAL,1325688,20120608,20130807,CANCELLED
9028,A09033,22,103090.02,,M,1500000,1,TYPE-A,48,0,ANNUAL,773733,20130528,,INFORCE
7600,A07605,12,300000,,F,399996,1,TYPE-B,58,0,ANNUAL,1368044,20121130,,INFORCE
4226,A04228,42,100000,M,M,800004,1,TYPE-B,52,2,ANNUAL,184844,20100716,,INFORCE
8367,A08372,54,200355.42,M,M,510000,1,TYPE-A,51,1,ANNUAL,296411,20130322,,INFORCE
8101,A08106,17,247279.92,M,M,900000,2,TYPE-A,48,3,MONTHLY,343344,20130214,,INFORCE
2199,A02200,20,120000,M,F,300000,1,TYPE-B,65,1,MONTHLY,343344,20091014,,INFORCE
2515,A02516,22,130000,S,M,399996,1,TYPE-B,25,0,ANNUAL,530955,20091229,20110226,CANCELLED
8725,A08730,97,103090.73,,F,1899996,2,TYPE-A,33,0,ANNUAL,1219222,20130331,,INFORCE
801,A00802,12,100000,S,M,399996,1,TYPE-B,23,0,ANNUAL,137655,20080922,,INFORCE
6378,A06383,12,200001.6,S,M,450000,2,TYPE-B,24,0,MONTHLY,1252911,20120221,,INFORCE
9852,A09857,57,100003.15,M,M,499992,2,TYPE-A,47,3,ANNUAL,541000,20130930,,INFORCE
2275,A02276,12,100000,,,,1,TYPE-B,55,1,ANNUAL,555255,20091030,,INFORCE
742,A00743,12,100000,S,M,594996,1,TYPE-B,23,0,SEMI-ANNUAL,425166,20080904,20090503,CANCELLED
1224,A01225,9,120011.88,S,F,300000,1,TYPE-B,27,0,MONTHLY,259355,20090121,20090520,CANCELLED
4825,A04828,53,100000,M,M,699996,1,TYPE-B,41,1,ANNUAL,679211,20100908,,INFORCE
7768,A07773,22,154635.08,M,M,5354412,2,TYPE-A,47,2,ANNUAL,377711,20121228,,INFORCE
9228,A09233,17,103469.72,D,M,399996,2,TYPE-A,61,0,ANNUAL,1389911,20130628,,INFORCE
2320,A02321,9,100000,S,M,350004,1,TYPE-B,21,0,SEMI-ANNUAL,798311,20091116,20100713,CANCELLED
3520,A03522,27,150000,,,,,TYPE-B,52,0,ANNUAL,752755,20100331,,INFORCE
1684,A01685,17,100000.81,M,M,249996,5,TYPE-B,33,1,ANNUAL,247144,20090522,20100721,CANCELLED
10351,A10356,17,150000.21,M,F,999996,2,TYPE-A,51,1,ANNUAL,1214755,20131129,,INFORCE
9494,A09499,78,449999.9,,M,900000,1,TYPE-A,50,0,ANNUAL,1234800,20130821,,INFORCE
4092,A04094,26,200000,M,M,,6,TYPE-B,68,1,SEMI-ANNUAL,309877,20100625,,INFORCE
799,A00800,17,125000,,,,1,TYPE-B,42,0,ANNUAL,11477,20080924,,INFORCE
4818,A04821,12,200000,M,F,330000,1,TYPE-B,29,2,ANNUAL,879055,20100831,,INFORCE
4957,A04960,12,100000,,F,,1,TYPE-B,40,0,ANNUAL,461211,20101029,20111227,CANCELLED
4417,A04419,27,100000,M,F,350004,1,TYPE-B,24,3,ANNUAL,538877,20100818,20111017,CANCELLED
7046,A07051,22,120000.96,M,M,612996,2,TYPE-B,47,3,MONTHLY,1230277,20120613,,INFORCE
7562,A07567,22,100000.42,S,F,300000,2,TYPE-A,25,0,ANNUAL,532155,20121127,,INFORCE
3464,A03466,17,100000,S,M,300000,1,TYPE-B,25,0,QUARTERLY,752299,20100326,,INFORCE
4209,A04211,41,100000,M,F,5499996,1,TYPE-B,53,1,ANNUAL,20900,20100713,,INFORCE
7746,A07751,27,417700.06,M,M,799992,1,TYPE-A,54,3,ANNUAL,343344,20130118,,INFORCE
1339,A01340,9,100000,,,,1,TYPE-B,50,0,ANNUAL,631200,20090227,,INFORCE
1188,A01189,9,150001.2,S,M,500004,1,TYPE-B,23,0,MONTHLY,262811,20090105,20090502,CANCELLED
6407,A06412,12,250000,M,F,713496,1,TYPE-B,44,1,ANNUAL,1282388,20120227,20130426,CANCELLED
5405,A05408,12,100100,M,F,500004,1,TYPE-B,42,1,ANNUAL,499499,20110218,20120418,CANCELLED
586,A00587,17,100000,,,,1,TYPE-B,26,0,ANNUAL,295888,20080729,20110926,CANCELLED
9527,A09532,32,103090.02,,M,300000,2,TYPE-A,34,1,ANNUAL,1241499,20130826,,INFORCE
4165,A04167,22,100000,M,F,,6,TYPE-B,72,2,SEMI-ANNUAL,270777,20100706,,INFORCE
5767,A05770,67,199997.44,M,M,999996,1,TYPE-A,37,3,SEMI-ANNUAL,1132544,20110603,20120102,CANCELLED
6501,A06506,85,105000.16,,M,999996,2,TYPE-A,57,0,ANNUAL,1290566,20120227,20130329,CANCELLED
9206,A09211,32,242412.72,,M,120000,4,TYPE-A,41,1,MONTHLY,1431722,20130628,20130912,CANCELLED
4047,A04049,41,120000,M,F,1200000,1,TYPE-B,54,3,MONTHLY,883355,20100614,,INFORCE
8762,A08767,17,111703.38,,M,300000,1,TYPE-A,71,1,ANNUAL,343344,20130331,,INFORCE
23,A00024,12,100000,M,F,135096,1,TYPE-B,39,1,ANNUAL,11544,20070625,,INFORCE
4745,A04748,27,110000,,,,1,TYPE-B,72,0,SEMI-ANNUAL,453433,20100831,20110429,CANCELLED
5846,A05850,63,101592.24,M,F,1200000,1,TYPE-A,41,1,ANNUAL,1242677,20110729,,INFORCE
789,A00790,17,100000,M,M,290004,1,TYPE-B,44,1,SEMI-ANNUAL,205600,20081020,,INFORCE
2684,A02685,9,100000,M,M,549996,5,TYPE-B,64,2,ANNUAL,773999,20100129,,INFORCE
3532,A03534,17,100000,M,F,249996,1,TYPE-B,57,2,SEMI-ANNUAL,428277,20100331,,INFORCE
5648,A05651,12,149999.99,M,M,849996,1,TYPE-B,58,2,ANNUAL,418122,20110331,20130527,CANCELLED
5550,A05553,37,100514.18,S,M,424992,1,TYPE-A,26,0,ANNUAL,1190522,20110321,,INFORCE
8034,A08039,17,125000,M,M,,6,TYPE-A,64,1,ANNUAL,169155,20130214,,INFORCE
10355,A10360,17,125017.09,,M,600000,1,TYPE-A,50,0,ANNUAL,343399,20131129,,INFORCE
2085,A02086,9,600000,M,M,9999996,1,TYPE-B,47,2,ANNUAL,739300,20090925,,INFORCE
3094,A03095,32,100000,M,M,,6,TYPE-B,62,2,ANNUAL,708822,20100226,20110427,CANCELLED
8611,A08616,17,123744.52,,F,,6,TYPE-A,67,3,SEMI-ANNUAL,343377,20130330,,INFORCE
9143,A09148,22,150000.35,M,M,1200000,1,TYPE-A,63,1,ANNUAL,343355,20130628,,INFORCE
3412,A03414,27,150001.2,,,,1,TYPE-B,58,0,MONTHLY,702966,20100331,20100727,CANCELLED
6994,A06999,12,100000,M,M,249996,1,TYPE-B,45,2,ANNUAL,389722,20120510,20130709,CANCELLED
605,A00606,30,200000,M,F,350004,1,TYPE-B,55,1,SEMI-ANNUAL,91400,20080722,,INFORCE
4317,A04319,19,1224164,M,F,999996,1,TYPE-B,75,1,ANNUAL,739255,20100730,20110926,CANCELLED
9892,A09897,12,250000,M,F,1500000,2,TYPE-B,44,1,ANNUAL,1463822,20130930,,INFORCE
993,A00994,12,100000,M,M,450000,1,TYPE-B,61,2,ANNUAL,33666,20081219,,INFORCE
9047,A09052,17,105192.84,M,M,750000,1,TYPE-A,54,3,MONTHLY,1079488,20130529,,INFORCE
1351,A01352,37,199980,M,F,800004,1,TYPE-B,48,2,ANNUAL,579400,20090227,20100429,CANCELLED
5758,A05761,48,200022.53,,M,1899996,1,TYPE-A,59,1,ANNUAL,1198522,20110530,20120627,CANCELLED
2233,A02234,17,100000,M,M,600000,1,TYPE-B,39,1,ANNUAL,791422,20091028,20101227,CANCELLED
9008,A09013,32,134999.97,,M,300000,1,TYPE-A,58,1,ANNUAL,1401755,20130524,,INFORCE
3279,A03281,43,1000000,S,M,699996,1,TYPE-B,52,0,SINGLE-PREMIUM,751144,20100319,,INFORCE
9054,A09059,92,103192.63,,M,,6,TYPE-A,84,0,ANNUAL,20988,20130531,,INFORCE
3023,A03024,74,100000,S,F,,6,TYPE-B,19,0,ANNUAL,343344,20100308,,INFORCE
2862,A02863,29,108000.84,M,M,500004,1,TYPE-B,61,2,MONTHLY,494122,20100211,20100610,CANCELLED
10325,A10330,17,103090.01,,M,,6,TYPE-A,76,2,ANNUAL,343344,20131129,,INFORCE
4767,A04770,45,1000000,M,M,1200000,1,TYPE-B,49,1,ANNUAL,304122,20100831,20111027,CANCELLED
6641,A06646,12,199999.99,W,M,300000,2,TYPE-B,59,0,ANNUAL,942344,20120320,20130519,CANCELLED
10249,A10254,17,132920.52,M,F,799992,1,TYPE-A,43,2,MONTHLY,343344,20131119,,INFORCE
3353,A03355,27,100000,M,M,300000,1,TYPE-B,30,3,ANNUAL,879766,20100323,,INFORCE
6200,A06205,12,100000,,F,289008,2,TYPE-B,38,0,ANNUAL,1288544,20111227,20130225,CANCELLED
6403,A06408,12,1000000,M,M,1200000,2,TYPE-B,39,2,ANNUAL,614377,20120227,20130426,CANCELLED
7251,A07256,101,113882.5,,F,325500,2,TYPE-A,62,0,ANNUAL,1342300,20120731,,INFORCE
10118,A10123,17,120001.92,M,F,499992,2,TYPE-A,41,2,MONTHLY,343466,20131028,,INFORCE
6904,A06909,12,100000,,M,499992,1,TYPE-B,59,0,SEMI-ANNUAL,1219222,20120330,20121127,CANCELLED
6459,A06464,27,100003.21,M,M,450000,1,TYPE-A,48,2,ANNUAL,1126533,20120223,,INFORCE
6965,A06970,54,325069.79,,F,,6,TYPE-A,73,2,ANNUAL,1219322,20120525,20130624,CANCELLED
8514,A08519,12,175000,,M,1599996,2,TYPE-B,70,0,ANNUAL,736922,20130331,,INFORCE
5265,A05268,12,100000,,F,,1,TYPE-B,47,0,ANNUAL,1186511,20110120,,INFORCE
2609,A02610,22,100000,M,M,210000,1,TYPE-B,47,2,SEMI-ANNUAL,123055,20100113,20110911,CANCELLED
4773,A04776,30,100000,M,M,650004,1,TYPE-B,64,1,ANNUAL,870344,20100831,20111027,CANCELLED
9980,A09985,27,125046.52,M,M,2019864,2,TYPE-A,38,1,ANNUAL,306044,20131007,,INFORCE
8276,A08281,17,120639.6,,M,450000,2,TYPE-A,62,0,MONTHLY,1097755,20130311,,INFORCE
7846,A07851,17,100796.52,W,F,,6,TYPE-A,64,0,MONTHLY,343344,20121231,,INFORCE
10119,A10124,22,199999.88,,M,3000000,2,TYPE-A,80,0,ANNUAL,1465322,20131031,,INFORCE
267,A00268,17,100000,M,M,1400004,1,TYPE-B,38,2,ANNUAL,131022,20080229,,INFORCE
6901,A06906,12,350000,,M,1500000,1,TYPE-B,54,0,ANNUAL,1310466,20120330,20130527,CANCELLED
1805,A01806,17,100000,,,,1,TYPE-B,58,2,SEMI-ANNUAL,568800,20090630,,INFORCE
9802,A09807,12,400000,,M,7999992,2,TYPE-B,58,3,ANNUAL,1418166,20130930,,INFORCE
4779,A04782,48,107170,M,M,1599996,1,TYPE-B,41,1,ANNUAL,1125366,20100831,,INFORCE
5640,A05643,12,120000.84,W,F,279996,1,TYPE-B,56,0,MONTHLY,1208399,20110331,20110727,CANCELLED
5833,A05837,22,250000,M,M,495000,1,TYPE-B,48,3,ANNUAL,595933,20110718,20130916,CANCELLED
738,A00739,12,100000,M,F,300000,1,TYPE-B,21,2,SEMI-ANNUAL,257922,20080829,20091027,CANCELLED
3501,A03503,12,250000,M,M,600000,1,TYPE-B,43,3,SEMI-ANNUAL,145533,20100331,,INFORCE
965,A00966,12,150000,M,M,579996,1,TYPE-B,27,2,SEMI-ANNUAL,361822,20081117,,INFORCE
252,A00253,17,101000,S,M,360000,1,TYPE-B,28,0,ANNUAL,184300,20080226,,INFORCE
5695,A05698,12,150000,,M,,1,TYPE-B,60,0,ANNUAL,281055,20110413,20130610,CANCELLED
2495,A02496,22,100000,M,M,450000,1,TYPE-B,51,3,ANNUAL,360188,20091231,,INFORCE
50,A00051,12,150000,M,M,1083324,1,TYPE-B,47,3,ANNUAL,47399,20070928,,INFORCE
4689,A04692,27,100000,S,M,700008,1,TYPE-B,26,0,ANNUAL,872033,20100831,20111027,CANCELLED
7566,A07571,17,100000.12,,F,,6,TYPE-A,66,0,ANNUAL,343500,20121127,,INFORCE
2613,A02614,17,100000,M,M,230004,1,TYPE-B,48,1,ANNUAL,791988,20091231,,INFORCE
872,A00873,37,130000,M,M,600000,1,TYPE-B,47,1,ANNUAL,346344,20081021,,INFORCE
8562,A08567,27,338246.88,M,M,499992,2,TYPE-A,51,2,MONTHLY,1079488,20130326,,INFORCE
